Column1,Sentiment,RealSentiment,TweetID,Date,Query,User,Tweet,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment,BERTDetails,BERTSentiment1,BERTDetails1,BERTSentiment2,BERTDetails2
127,4,Positive,391,Tue Jun 02 02:54:40 UTC 2009,"""night at the museum""",bobster56,just got back from the movies.  went to see the new night at the museum with rachel.  it was good,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,Positive,Positive,1,Positive,"tensor([[-0.1131, -0.7946, -0.0869]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1675, -0.8819,  0.6597]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3179,  0.6231,  0.0195]], grad_fn=<AddmmBackward>)"
128,2,Neutral,392,Tue Jun 02 02:54:44 UTC 2009,"""night at the museum""",jordanforeman,Just saw the new Night at the Museum movie...it was...okay...lol 7\10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Negative,"tensor([[-0.5603, -0.1436, -0.4015]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2891, 0.0368, 0.3536]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1116, -0.0119,  0.1247]], grad_fn=<AddmmBackward>)"
129,2,Neutral,393,Tue Jun 02 02:54:51 UTC 2009,"""night at the museum""",britree,Going to see night at the museum 2 with tall boy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.1028, -0.4331,  0.1940]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3121, -0.6701,  0.2037]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0061,  0.3008,  0.1679]], grad_fn=<AddmmBackward>)"
130,4,Positive,394,Tue Jun 02 02:55:16 UTC 2009,"""night at the museum""",jellz,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4404}",0.4404,Positive,Positive,1,Negative,"tensor([[ 0.1807, -0.4848, -0.5465]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1113, -0.7307,  0.6809]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.6632,  0.2341, -0.0621]], grad_fn=<AddmmBackward>)"
131,4,Positive,395,Tue Jun 02 02:55:25 UTC 2009,"""night at the museum""",droherty,no watching The Night At The Museum. Getting Really Good,"{'neg': 0.164, 'neu': 0.597, 'pos': 0.238, 'compound': 0.2484}",0.2484,Positive,Neutral,0,Positive,"tensor([[-0.3820, -0.4217,  0.0049]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3069, -0.2364,  1.1130]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3207, -0.0386,  0.0534]], grad_fn=<AddmmBackward>)"
132,4,Positive,396,Tue Jun 02 02:55:39 UTC 2009,"""night at the museum""",sarahbrooke,"Night at the Museum, Wolverine and junk food - perfect monday!","{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.6114}",0.6114,Positive,Positive,1,Positive,"tensor([[-0.6356, -0.4500, -0.0768]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3092, -0.0441,  0.4888]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4796, -0.1960,  0.3631]], grad_fn=<AddmmBackward>)"
133,4,Positive,397,Tue Jun 02 02:55:49 UTC 2009,"""night at the museum""",jeremyempire,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!,"{'neg': 0.048, 'neu': 0.569, 'pos': 0.382, 'compound': 0.9142}",0.9142,Positive,Positive,1,Positive,"tensor([[-0.2309, -0.2415, -0.2017]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4141, -0.3077,  0.0492]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2816, -0.2924,  0.5896]], grad_fn=<AddmmBackward>)"
134,2,Neutral,398,Tue Jun 02 02:56:01 UTC 2009,"""night at the museum""",MirandaClues,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.,"{'neg': 0.116, 'neu': 0.8, 'pos': 0.084, 'compound': -0.1779}",-0.1779,Negative,Neutral,0,Positive,"tensor([[-0.6117, -0.7605,  0.0879]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0197, 0.6750, 0.1236]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2078, -0.3858,  0.5805]], grad_fn=<AddmmBackward>)"
135,2,Neutral,399,Tue Jun 02 02:56:25 UTC 2009,"""night at the museum""",RGuad08,Taking Katie to see Night at the Museum.  (she picked it),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.4144, -0.9303,  0.3375]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0737, -0.1311,  0.7279]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.2987, 0.2406, 0.1825]], grad_fn=<AddmmBackward>)"
136,0,Negative,400,Tue Jun 02 02:56:38 UTC 2009,"""night at the museum""",xshallsx,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL,"{'neg': 0.101, 'neu': 0.489, 'pos': 0.41, 'compound': 0.8331}",0.8331,Positive,Positive,2,Negative,"tensor([[-0.4632, -0.6221, -0.0591]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4605, -0.6084,  0.6105]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1710,  0.1290, -0.0903]], grad_fn=<AddmmBackward>)"
137,2,Neutral,401,Tue Jun 02 03:00:25 UTC 2009,gm,EconomyUpdates,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.5599, -0.8092, -0.1088]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.3018, -0.0822,  0.9710]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1633, -0.4038,  0.6801]], grad_fn=<AddmmBackward>)"
138,0,Negative,402,Tue Jun 02 03:01:10 UTC 2009,gm,mshbrown,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable,"{'neg': 0.098, 'neu': 0.814, 'pos': 0.088, 'compound': -0.0772}",-0.0772,Negative,Negative,-1,Positive,"tensor([[-1.0801, -0.5655, -0.3720]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1627, -0.2090,  0.5444]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1233, -0.0468,  0.3067]], grad_fn=<AddmmBackward>)"
139,0,Negative,403,Tue Jun 02 03:02:17 UTC 2009,gm,misschris62,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.6662}",0.6662,Positive,Neutral,0,Negative,"tensor([[-0.4958, -0.0392, -0.5219]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2344, -0.9034,  0.1061]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1915, -0.2366,  0.1316]], grad_fn=<AddmmBackward>)"
140,0,Negative,404,Tue Jun 02 03:05:13 UTC 2009,gm,artbynemo,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha,"{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.8597}",0.8597,Positive,Positive,1,Positive,"tensor([[-0.4220, -0.6925, -0.2267]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.0559, 0.5016, 0.7269]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2592, 0.1252, 0.6794]], grad_fn=<AddmmBackward>)"
141,0,Negative,405,Tue Jun 02 03:14:36 UTC 2009,time warner,windhamgirl,Time Warner cable is down again 3rd time since Memorial Day bummer!,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.4389}",-0.4389,Negative,Positive,1,Positive,"tensor([[-0.7856, -0.8503, -0.3890]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0419, -0.4326, -0.3884]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2599,  0.0903, -0.1483]], grad_fn=<AddmmBackward>)"
142,0,Negative,406,Tue Jun 02 03:15:11 UTC 2009,time warner,mmmPi,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection.","{'neg': 0.059, 'neu': 0.802, 'pos': 0.139, 'compound': 0.4404}",0.4404,Positive,Negative,-1,Positive,"tensor([[-0.6061, -0.5790, -0.5208]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0136, -0.4367,  0.5077]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5118,  0.1420, -0.3175]], grad_fn=<AddmmBackward>)"
143,0,Negative,407,Tue Jun 02 03:15:23 UTC 2009,time warner,NDEddieMac,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,"{'neg': 0.3, 'neu': 0.7, 'pos': 0.0, 'compound': -0.8074}",-0.8074,Negative,Negative,-2,Positive,"tensor([[-0.4707, -1.1280, -0.3308]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.3660, -1.0239,  0.7759]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5233,  0.4279,  0.2557]], grad_fn=<AddmmBackward>)"
144,0,Negative,408,Tue Jun 02 03:15:54 UTC 2009,time warner,yourboysdot,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!,"{'neg': 0.335, 'neu': 0.665, 'pos': 0.0, 'compound': -0.8902}",-0.8902,Negative,Negative,-2,Negative,"tensor([[-0.1092, -0.5913, -0.5024]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2284, -0.0012,  0.3320]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5633,  0.5436, -0.0015]], grad_fn=<AddmmBackward>)"
145,0,Negative,409,Tue Jun 02 03:16:16 UTC 2009,time warner,Shazzainla,time warner has the worse customer service ever. I will never use them again,"{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative,Negative,-2,Positive,"tensor([[-0.4281, -0.9492, -0.5651]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.6265, 0.1348, 0.1089]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0355, -0.3429,  0.4603]], grad_fn=<AddmmBackward>)"
146,0,Negative,410,Tue Jun 02 03:16:27 UTC 2009,time warner,dstalk,Time warner is the devil. Worst possible time for the Internet to go out.,"{'neg': 0.415, 'neu': 0.585, 'pos': 0.0, 'compound': -0.8591}",-0.8591,Negative,Negative,-2,Positive,"tensor([[-0.6140, -1.0288, -0.1890]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2942, -0.6328,  0.1611]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2940, -0.3345,  0.2110]], grad_fn=<AddmmBackward>)"
147,0,Negative,411,Tue Jun 02 03:16:37 UTC 2009,time warner,ernestalfonso,Fuck no internet damn time warner!,"{'neg': 0.533, 'neu': 0.267, 'pos': 0.201, 'compound': -0.5767}",-0.5767,Negative,Negative,-3,Positive,"tensor([[-0.6060, -1.1059, -0.7377]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2211, -0.6779, -0.1438]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.6492, -0.2591, -0.1134]], grad_fn=<AddmmBackward>)"
148,0,Negative,412,Tue Jun 02 03:16:49 UTC 2009,time warner,kaaatiee,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.,"{'neg': 0.147, 'neu': 0.809, 'pos': 0.044, 'compound': -0.6204}",-0.6204,Negative,Negative,-1,Positive,"tensor([[-0.4672, -0.0871, -0.2639]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1906, -0.4309,  0.4694]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2815,  0.3590, -0.0184]], grad_fn=<AddmmBackward>)"
149,0,Negative,413,Tue Jun 02 03:17:04 UTC 2009,time warner,JasonNegron,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.,"{'neg': 0.11, 'neu': 0.627, 'pos': 0.263, 'compound': 0.6239}",0.6239,Positive,Negative,-3,Negative,"tensor([[-0.8165, -1.0288, -0.3212]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3596, -0.2329,  0.1122]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3627,  0.3737,  0.0684]], grad_fn=<AddmmBackward>)"
150,0,Negative,414,Tue Jun 02 03:17:26 UTC 2009,time warner,elphabablue,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :),"{'neg': 0.101, 'neu': 0.627, 'pos': 0.272, 'compound': 0.6908}",0.6908,Positive,Positive,1,Negative,"tensor([[-0.9751, -0.6058,  0.0264]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0767, -0.2336,  0.0788]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1790,  0.0719, -0.5268]], grad_fn=<AddmmBackward>)"
151,0,Negative,415,Tue Jun 02 03:17:55 UTC 2009,time warner,gabe_rp,Time Warner's HD line up is crap.,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative,Negative,-2,Neutral,"tensor([[-0.6603, -1.0481, -0.1487]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1418,  0.0390,  0.5831]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1398, -0.4838,  0.6198]], grad_fn=<AddmmBackward>)"
152,0,Negative,416,Tue Jun 02 03:18:50 UTC 2009,time warner,JoeyCircles,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.8016}",-0.8016,Negative,Negative,-2,Positive,"tensor([[-0.7063, -1.1920,  0.1030]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.4257, -0.0689, -0.1766]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4340, -0.1781, -0.1585]], grad_fn=<AddmmBackward>)"
153,2,Neutral,417,Tue Jun 02 03:22:07 UTC 2009,time warner,ScooPost,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.5529, -1.1999, -0.2169]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0324, -0.3746,  0.8944]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1287,  0.3134, -0.1048]], grad_fn=<AddmmBackward>)"
154,0,Negative,418,Tue Jun 02 03:23:50 UTC 2009,time warner,adamjleach,Time Warner Cable slogan: Where calling it a day at 2pm Happens.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-1.1829, -0.7781,  0.3849]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2790, -0.4463,  0.0577]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.6858,  0.1489,  0.2192]], grad_fn=<AddmmBackward>)"
155,2,Neutral,419,Tue Jun 02 03:24:43 UTC 2009,china,HYPHYROCKSTAR,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.5285, -0.6426, -0.0993]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0847, -0.9631,  0.1689]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3540,  0.2449,  0.5404]], grad_fn=<AddmmBackward>)"
156,2,Neutral,420,Tue Jun 02 03:24:47 UTC 2009,china,BreakingBizNews,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.4215,Positive,Neutral,0,Positive,"tensor([[-0.3518, -0.8927, -0.5412]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2054, -0.2908,  0.1233]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0475, -0.0484,  0.3834]], grad_fn=<AddmmBackward>)"
157,2,Neutral,421,Tue Jun 02 03:24:57 UTC 2009,china,myfoxdc,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[ 0.2676, -0.6911, -0.4137]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1924, -0.4378,  0.2583]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1269, -0.0543, -0.3025]], grad_fn=<AddmmBackward>)"
158,2,Neutral,422,Tue Jun 02 03:25:01 UTC 2009,china,drlombardo,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.3324, -0.9163, -0.2297]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5050, 0.0231, 0.3721]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0839, -0.1328,  0.9249]], grad_fn=<AddmmBackward>)"
159,2,Neutral,423,Tue Jun 02 03:27:27 UTC 2009,gm,sinostream,http://xi.gs/04FO GM CEO: China will continue to be key partner,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.3483, -0.5312, -0.3863]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.5570, -0.0857,  0.5161]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3274, -0.5423,  0.6341]], grad_fn=<AddmmBackward>)"
160,2,Neutral,424,Tue Jun 02 03:27:48 UTC 2009,gm,hammerauto,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.4922, -0.4165, -0.0725]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0018, -0.1806,  0.4066]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.1856, 0.0971, 0.4685]], grad_fn=<AddmmBackward>)"
161,0,Negative,425,Tue Jun 02 03:29:23 UTC 2009,surgery,scoralli,Recovering from surgery..wishing @julesrenner was here :(,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Neutral,0,Positive,"tensor([[-0.1283, -0.8497, -0.2486]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2870, 0.1390, 0.7206]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2945, -0.0498,  0.0365]], grad_fn=<AddmmBackward>)"
162,4,Positive,426,Tue Jun 02 03:29:53 UTC 2009,dentist,sardonnica,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!","{'neg': 0.288, 'neu': 0.618, 'pos': 0.094, 'compound': -0.8491}",-0.8491,Negative,Negative,-2,Positive,"tensor([[-0.2900, -0.4354, -0.4836]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0010, -0.4621,  0.2215]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3041, -0.0230, -0.0594]], grad_fn=<AddmmBackward>)"
163,2,Neutral,427,Tue Jun 02 03:32:14 UTC 2009,dentist,BChasnov,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?,"{'neg': 0.076, 'neu': 0.655, 'pos': 0.269, 'compound': 0.6486}",0.6486,Positive,Neutral,0,Positive,"tensor([[-0.4642, -0.9837, -0.4375]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0529, -0.8953,  0.5482]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2756, -0.0869, -0.1332]], grad_fn=<AddmmBackward>)"
164,0,Negative,428,Tue Jun 02 03:32:33 UTC 2009,dentist,LILJIZZEL,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!","{'neg': 0.345, 'neu': 0.574, 'pos': 0.081, 'compound': -0.911}",-0.911,Negative,Negative,-3,Positive,"tensor([[-0.0186, -0.9026, -0.3570]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5027, 0.3842, 0.3767]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1282, -0.4140,  0.5282]], grad_fn=<AddmmBackward>)"
165,0,Negative,429,Tue Jun 02 03:32:45 UTC 2009,dentist,giz2000,@kirstiealley my dentist is great but she's expensive...=(,"{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.3716}",0.3716,Positive,Positive,1,Positive,"tensor([[-0.7850, -0.8789, -0.1500]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.3793, 0.0907, 0.4259]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5176, -0.1887, -0.0939]], grad_fn=<AddmmBackward>)"
166,2,Neutral,430,Tue Jun 02 03:33:30 UTC 2009,dentist,cmonaussiecmon,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Positive,"tensor([[-0.5395, -0.7070, -0.7016]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2050, -0.4849,  0.2899]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0808, -0.2637,  0.1002]], grad_fn=<AddmmBackward>)"
167,4,Positive,431,Tue Jun 02 03:33:53 UTC 2009,dentist,sorayabouby,is studing math ;) tomorrow exam and dentist :),"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.5994}",0.5994,Positive,Negative,-1,Negative,"tensor([[-0.5960, -0.4116, -0.1660]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.8022, 0.0372, 0.4376]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1974, -0.0399,  0.0792]], grad_fn=<AddmmBackward>)"
168,0,Negative,432,Tue Jun 02 03:34:27 UTC 2009,dentist,jeffreymodest,my dentist was wrong... WRONG,"{'neg': 0.698, 'neu': 0.302, 'pos': 0.0, 'compound': -0.7865}",-0.7865,Negative,Negative,-1,Negative,"tensor([[-0.8040, -0.9680,  0.0330]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1846, -0.6808,  0.2041]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7930,  0.4906,  0.2028]], grad_fn=<AddmmBackward>)"
169,0,Negative,433,Tue Jun 02 03:34:39 UTC 2009,dentist,yowneh,Going to the dentist later.:|,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-1,Neutral,"tensor([[-0.3085, -1.0457,  0.0380]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3019, -0.6207,  0.1992]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0527,  0.0495,  0.3454]], grad_fn=<AddmmBackward>)"
170,0,Negative,434,Tue Jun 02 03:34:58 UTC 2009,dentist,CWilliams_Rltr,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,"{'neg': 0.106, 'neu': 0.719, 'pos': 0.175, 'compound': 0.3382}",0.3382,Positive,Negative,-2,Negative,"tensor([[ 0.0733, -0.7047, -0.0238]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0103, -0.4916, -0.1492]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2819,  0.1936,  0.7157]], grad_fn=<AddmmBackward>)"
171,2,Neutral,435,Tue Jun 02 04:29:16 UTC 2009,baseball,SimpleManJess,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.5994}",0.5994,Positive,Neutral,0,Neutral,"tensor([[-0.3648, -1.2556, -0.1061]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2212, -1.1447,  0.3794]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2205,  0.3341, -0.1486]], grad_fn=<AddmmBackward>)"
172,2,Neutral,436,Tue Jun 02 04:29:26 UTC 2009,baseball,H3LLGWAR,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.2023}",0.2023,Positive,Positive,1,Positive,"tensor([[-0.3242, -1.3940, -0.0148]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5093, -0.6302,  0.6816]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7341, -0.2301,  0.1904]], grad_fn=<AddmmBackward>)"
173,2,Neutral,437,Tue Jun 02 04:29:30 UTC 2009,baseball,LouisvilleGrads,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.5994}",0.5994,Positive,Neutral,0,Negative,"tensor([[-0.6508, -0.6744, -0.2264]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0340,  0.1274,  0.0498]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.3320,  0.0945,  0.1939]], grad_fn=<AddmmBackward>)"
174,2,Neutral,438,Tue Jun 02 04:39:24 UTC 2009,sony,SwainFamily,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.3027, -0.5511, -0.5327]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1623, -0.3451,  0.7676]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1109,  0.3062, -0.0036]], grad_fn=<AddmmBackward>)"
175,2,Neutral,439,Tue Jun 02 04:39:49 UTC 2009,safeway,neeeelia,waiting in line at safeway.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Positive,"tensor([[-0.1699, -0.0115, -0.2565]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4949, -0.3906, -0.2050]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1542,  0.2122,  0.2309]], grad_fn=<AddmmBackward>)"
