Unnamed: 0,Text,Sentiment,BERTSentiment_kFold,BERTDetails_kFold,BERTSentiment_8020,BERTDetails_8020,VADER_Score,VADER_Compound,VADER_Sentiment
603,"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",neutral,Neutral,"tensor([[-0.0103, -0.4181, -1.0164]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0409, 0.8736, 0.7808]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.958, 'pos': 0.042, 'compound': 0.3182}",0.3182,Positive
604,The business section also includes Ahlstrom 's sustainability report .,neutral,Negative,"tensor([[-0.0267,  0.5413, -0.2567]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.3895,  0.1255, -0.0287]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
605,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,neutral,Negative,"tensor([[-0.7284,  0.2793, -0.2132]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2952,  0.4232,  0.4070]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.2263}",0.2263,Positive
606,The company is presently examining whether the project would be financially feasible .,neutral,Neutral,"tensor([[-0.6582,  0.0067, -0.8301]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1431, -0.0819,  0.0052]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
607,The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .,neutral,Neutral,"tensor([[-0.2979, -0.1196, -0.1584]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1694,  0.2926, -0.0307]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.3182}",0.3182,Positive
608,The company specialises in temporary electrification and heating at construction sites .,neutral,Negative,"tensor([[-0.5171,  0.4310, -0.7519]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2616,  0.7506,  0.1060]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
609,"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",neutral,Neutral,"tensor([[0.0201, 0.2329, 0.1890]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1218,  0.0561,  0.3710]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
610,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral,Neutral,"tensor([[ 0.0330, -0.3095, -0.4850]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1947,  0.0287,  0.0437]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
611,The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,neutral,Positive,"tensor([[-0.3255,  0.1671, -0.7527]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0080, -0.2615, -0.3969]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",0.2732,Positive
612,The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral,Neutral,"tensor([[-0.2187,  0.3542, -0.8533]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.6448,  0.3299, -0.2165]], grad_fn=<AddmmBackward>)","{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
613,The first of the two project phases is expected to be completed by the end of 2012 .,neutral,Neutral,"tensor([[-0.5928,  0.6868, -0.6137]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0245,  0.6931, -0.0575]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
614,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",neutral,Negative,"tensor([[-0.7701, -0.1872, -0.1893]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0863,  0.5314, -0.2949]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
615,"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral,Positive,"tensor([[-0.1010,  0.0972, -0.6805]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2349,  0.7374, -0.1448]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
616,"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",neutral,Neutral,"tensor([[-0.3381, -0.0388, -0.7447]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0397,  0.6643, -0.4124]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.6808}",0.6808,Positive
617,"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral,Neutral,"tensor([[-0.4013,  0.2472, -0.4420]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0230, -0.0437, -0.2906]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
618,"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral,Neutral,"tensor([[ 0.0137, -0.1679, -0.5410]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3024,  0.3035, -0.0610]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.5574}",0.5574,Positive
619,The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,Positive,"tensor([[-0.4343, -0.1346, -0.2093]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1416, 0.1384, 0.1768]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}",0.296,Positive
620,The office space will rise above the remodeled Cannon Street underground station .,neutral,Negative,"tensor([[-0.5167,  0.0520, -0.5371]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1720,  0.8319, -0.0837]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
621,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,Negative,"tensor([[-0.5248,  0.0705, -0.3592]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1033,  0.1989, -0.1328]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
622,The project is expected to be completed in 2009 .,neutral,Neutral,"tensor([[ 0.1451,  0.2228, -0.0297]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.1470, 0.3220, 0.4439]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
623,"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",neutral,Negative,"tensor([[-0.1872, -0.1417, -0.1512]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1050,  0.2871,  0.1652]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
624,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,Neutral,"tensor([[-0.5059,  0.2152, -0.3917]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.1279, 0.2418, 0.2444]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
625,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,Negative,"tensor([[ 0.2259, -0.2704, -0.4060]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1446, 0.7263, 0.7300]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
626,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,Neutral,"tensor([[ 0.0392,  0.2102, -0.3418]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1368,  0.2222, -0.5840]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
627,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral,Negative,"tensor([[-0.2819, -0.1868,  0.0859]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.7016,  0.3777,  0.5645]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.3182}",0.3182,Positive
628,The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,Neutral,"tensor([[-0.4205,  0.1897, -0.3361]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0523, -0.0112, -0.1544]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.5267}",0.5267,Positive
629,"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,Neutral,"tensor([[ 0.3040, -0.0931, -0.1081]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1667,  0.5166, -0.2815]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.5267}",0.5267,Positive
630,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",neutral,Positive,"tensor([[-0.2848,  0.1784, -0.0613]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.4494, 0.0465, 0.0842]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}",0.3182,Positive
631,The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,neutral,Positive,"tensor([[-0.7545,  0.1566, -0.2743]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.2755, 0.5896, 0.1525]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.6801}",0.6801,Positive
632,The trade is in accordance with the agreement announced on 26 March 2008 .,neutral,Positive,"tensor([[-0.3128,  0.4043, -0.4011]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0119,  0.7290, -0.3537]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.4939}",0.4939,Positive
633,The transaction is expected to be completed next spring .,neutral,Negative,"tensor([[-0.4581,  0.4453, -0.6798]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2099,  0.7297, -0.4892]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
634,The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,Neutral,"tensor([[-0.3806, -0.2752, -0.4400]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1664,  0.7717,  0.5796]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
635,"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",neutral,Negative,"tensor([[-0.4500, -0.6971, -0.7632]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.5227,  0.7337,  0.4027]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.953, 'pos': 0.047, 'compound': 0.2732}",0.2732,Positive
636,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,Neutral,"tensor([[-0.0471,  0.2363, -0.6925]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3457,  0.3266, -0.1192]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
637,Uponor maintains its full-year guidance for 2010 .,neutral,Neutral,"tensor([[-0.4832,  0.5594, -0.0741]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.7840,  0.4952,  0.0056]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
638,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",neutral,Neutral,"tensor([[-0.5258, -0.1762, -0.3784]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2791, -0.0331,  0.2419]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
639,What would you like to see changed on Nokia 's next attempt ?,neutral,Neutral,"tensor([[-0.3612, -0.0073, -0.2358]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1600,  0.3410, -0.0060]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive
640,"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral,Neutral,"tensor([[-0.2013,  0.0506, -0.4944]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.0639,  0.1661, -0.1348]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
641,"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",neutral,Neutral,"tensor([[-0.2325,  0.1280, -0.7303]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4447,  0.6160, -0.2815]], grad_fn=<AddmmBackward>)","{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Negative
642,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,Positive,"tensor([[-0.7164, -0.2925,  0.0550]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0919, 0.5484, 0.3960]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.296}",0.296,Positive
643,`` Our aim is to understand different traffic patterns based on the use of each building .,neutral,Neutral,"tensor([[-0.6447, -0.3092, -0.4276]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.4833,  0.3761, -0.2288]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
644,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,neutral,Neutral,"tensor([[-0.5698,  0.0933,  0.1006]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0557,  0.1669, -0.3308]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
645,"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",neutral,Negative,"tensor([[-0.5482,  0.2278, -0.2557]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.4730,  0.6523, -0.1370]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4019}",0.4019,Positive
646,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,Neutral,"tensor([[-0.5143,  0.5233, -0.4069]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1554,  0.2347, -0.0564]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
647,A PLUMBING business has announced it is sponsoring a professional darts player .,neutral,Negative,"tensor([[-0.2851, -0.1687, -0.8441]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.4972,  0.3185,  0.3139]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
648,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral,Neutral,"tensor([[-0.7478, -0.1139,  0.0489]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5272,  0.1990,  0.4258]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}",0.4019,Positive
649,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,Positive,"tensor([[-0.6847,  0.4955, -0.3261]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1566,  0.0744, -0.2638]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
650,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,Neutral,"tensor([[ 0.1117, -0.6506,  0.0059]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5167,  0.8143,  0.1126]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}",0.3818,Positive
651,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,Positive,"tensor([[-0.2379, -0.0967, -0.3442]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0449, 0.4801, 0.3656]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5267}",0.5267,Positive
652,Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral,Negative,"tensor([[-0.1023, -0.0970, -0.2113]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3465,  0.1654, -0.1285]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}",0.3182,Positive
653,Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,Positive,"tensor([[-0.1143,  0.1616, -0.5863]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.0253, 0.7528, 0.1665]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}",0.3182,Positive
654,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral,Negative,"tensor([[-0.4525, -0.0691, -0.2073]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.2625, 0.6127, 0.3979]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
655,Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,Neutral,"tensor([[-0.4039,  0.2958,  0.0302]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0619,  0.2761,  0.5240]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
656,Exel wants to serve its industrial customers with individual products .,neutral,Neutral,"tensor([[-0.5430,  0.0189, -0.4378]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1507,  0.7680, -0.3539]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
657,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,Positive,"tensor([[-0.1837,  0.1678, -0.8558]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3718,  0.1276, -0.0139]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
658,From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral,Positive,"tensor([[-0.4540, -0.2681, -0.0348]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.6671,  1.0071,  0.3537]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
659,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,Neutral,"tensor([[-0.2468, -0.1249, -0.0523]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1788, 0.6774, 0.0560]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4767}",0.4767,Positive
660,"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral,Negative,"tensor([[-0.6395, -0.4767, -0.5750]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.3487, 0.7542, 0.0452]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
661,"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",neutral,Positive,"tensor([[-0.3620,  0.1373, -0.5137]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1985,  0.9077,  0.5539]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.6808}",0.6808,Positive
662,"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,Positive,"tensor([[ 0.3902, -0.3595, -0.4913]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[0.1737, 0.7960, 0.3631]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.4754}",0.4754,Positive
663,It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,Neutral,"tensor([[ 0.0212,  0.1423, -0.3188]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2170,  0.3096, -0.0773]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
664,It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,neutral,Neutral,"tensor([[-0.3297,  0.0189, -0.5410]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1507,  0.6648, -0.2164]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2023}",0.2023,Positive
665,"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral,Negative,"tensor([[-0.6817,  0.1021, -0.6079]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5211,  0.3681, -0.3811]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
666,"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,Neutral,"tensor([[-0.4234,  0.2422, -0.1173]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.3959, 1.0309, 0.3336]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.6808}",0.6808,Positive
667,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral,Positive,"tensor([[-0.5340,  0.2293, -0.7864]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1980, -0.0142,  0.0486]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
668,"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,Negative,"tensor([[ 0.1031,  0.0936, -0.3666]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.3822,  0.1106, -0.3914]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
669,The fine print is here .,neutral,Negative,"tensor([[-0.4874,  0.2957, -0.0364]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.0755,  0.0409, -0.3114]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.2023}",0.2023,Positive
670,M. and a Master of Business Administration MBA .,neutral,Neutral,"tensor([[-0.6467,  0.7595, -0.1985]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.2011, 0.3303, 0.3048]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
671,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,neutral,Positive,"tensor([[-0.4120, -0.0747,  0.1497]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2497,  0.4973, -0.1011]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4522}",0.4522,Positive
672,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,Positive,"tensor([[-0.0194,  0.0075, -0.3555]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0969,  0.5612,  0.1843]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.3182}",0.3182,Positive
673,"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",neutral,Neutral,"tensor([[-0.3707,  0.2308, -0.8224]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1881,  0.2050, -0.4457]], grad_fn=<AddmmBackward>)","{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.3182}",0.3182,Positive
